precinct_norm,registered_active,pct_dem,pct_rep,pct_una,pct_black,pct_white,median_age,total_population_2020,registration_rate,turnout_2016_General,turnout_2018_General,turnout_2020_General,turnout_2021_Municipal,turnout_2022_General,turnout_2023_Municipal,turnout_2024_General
45,4933,0.44780052706263934,0.16866004459760794,0.3782688019460774,0.18730995337522804,0.6616663288060004,55.0,6643.0,0.7425861809423453,0.9490316004077471,0.8368034292712798,0.9724919093851133,0.16461336828309306,0.7988577104544325,0.2075381679389313,0.9410741465535986
46,2853,0.5415352260778128,0.08412197686645637,0.3673326323168594,0.35506484402383454,0.40168243953732913,43.0,6325.0,0.4510671936758893,0.9144838212634823,0.764266304347826,0.9302721088435374,0.21222040370976542,0.6827794561933535,0.2408724513987672,0.8604651162790697
47,1703,0.6746917204932472,0.03464474456840869,0.2894891368173811,0.6682325308279506,0.12037580739870817,45.0,2790.0,0.6103942652329749,0.9349046015712682,0.7836990595611285,0.922739244951712,0.2915601023017903,0.6682653876898481,0.25975975975975973,0.8762214983713354
50,3620,0.475414364640884,0.10220994475138122,0.41878453038674035,0.19558011049723756,0.6002762430939227,42.0,5837.0,0.6201816001370567,0.9408999328408327,0.8173652694610778,0.9502895752895753,0.24965453707968677,0.7701761573125768,0.303895102198226,0.9043506078055022
51,5193,0.5151165029847872,0.07047949162333911,0.4099749663007895,0.1681109185441941,0.6581937223185057,45.0,7058.0,0.7357608387645225,0.9500762195121951,0.8600066822586034,0.9703473595029652,0.24851270957274202,0.8254635352286773,0.31413857677902624,0.9446548821548821
52,3111,0.6129861780777885,0.041465766634522665,0.3413693346190935,0.5737704918032787,0.14304082288653167,43.0,6711.0,0.46356727760393385,0.9019859064702114,0.7418397626112759,0.9191251271617498,0.17288801571709234,0.5980707395498392,0.17667536988685814,0.8215085884988798
53-2,4589,0.454129439965134,0.09108738287208543,0.45042492917847027,0.1120069731967749,0.688821093920244,46.0,5866.0,0.7823048073644733,0.9538357094365241,0.8502523836231072,0.9754278192189557,0.1805668016194332,0.8195729537366548,0.2319949012109624,0.9189050908160655
54,6787,0.5199646382790629,0.06777663179608075,0.40724915279210255,0.3337262413437454,0.4487991748931781,39.0,11592.0,0.5854899930986888,0.9291171477079796,0.7807428777497295,0.9419718309859155,0.18184231483939475,0.7106682297772567,0.2141776529068511,0.8857389801210026
55-11,1488,0.6102150537634409,0.021505376344086023,0.3655913978494624,0.6619623655913979,0.10887096774193548,43.0,2794.0,0.5325697924123121,0.8877146631439894,0.6654456654456654,0.8823529411764706,0.24173553719008264,0.5640776699029126,0.23694029850746268,0.7715384615384615
55-49,1563,0.3115802943058221,0.003198976327575176,0.6807421625079975,0.38707613563659626,0.011516314779270634,21.0,2725.0,0.5735779816513762,0.8860759493670886,0.6043956043956044,0.8661971830985915,0.09090909090909091,0.43137254901960786,0.07717041800643087,0.6955307262569832
56,4660,0.4886266094420601,0.10450643776824034,0.40429184549356223,0.17381974248927037,0.6916309012875537,52.0,,,0.9576333089846604,0.8711615487316422,0.9773057899330811,0.275561797752809,0.8396825396825397,0.3435114503816794,0.9532884034394609
57,4679,0.4800170976704424,0.08100021372088052,0.43428082923701644,0.17674716819833297,0.6360333404573627,45.0,,,0.952491849091756,0.8524183546920215,0.9697802197802198,0.20934825543120475,0.80096647538508,0.2710895052902488,0.934242571846079
